bias,seed,MAE,RMSE
-1.0,0,1.604330342973209,2.008535379172547
-1.0,1,1.685156977264836,2.085560208597453
-1.0,2,1.6334565342062795,2.0597989725633736
-0.75,0,1.522947022920202,1.9118483526848569
-0.75,1,1.580446990335047,1.9681800380232635
-0.75,2,1.5430758811193521,1.9624202038645402
-0.5,0,1.4663287786782735,1.8439468165486188
-0.5,1,1.506087061467136,1.8768116840736413
-0.5,2,1.4765019085216742,1.8934022236313022
-0.25,0,1.436262875281261,1.8079474391423702
-0.25,1,1.457913592168378,1.815373488551681
-0.25,2,1.4356794290480646,1.8558569695881766
0.0,0,1.4390149482293424,1.805704614947277
0.0,1,1.4333533942060814,1.7869807433774991
0.0,2,1.4309557447593781,1.8516098155111496
0.25,0,1.4702904126075125,1.8373937556002429
0.25,1,1.4360277485807416,1.7932758921323897
0.25,2,1.462483866581259,1.8807858206263488
0.5,0,1.5316897892224706,1.9014508155319505
0.5,1,1.4685596234075229,1.8339959413695426
0.5,2,1.5221047950586863,1.9418004675913927
0.75,0,1.6200594272819733,1.9949084253854354
0.75,1,1.533220929021838,1.9070106628382137
0.75,2,1.6057471748873966,2.031750359302566
1.0,0,1.7281111313567499,2.113983462213154
1.0,1,1.6212991454347376,2.0088305679341056
1.0,2,1.7155138709045648,2.147004465999137
